TEDIS PHARMA CI;;;STATISTIQUES LABORATOIRE ECLATEES PAR CLIENT
Votre partenaire Santé;;;INOX PHARMA - CROIENT PHARMA

CIP;Désignation du produit;Client;Mai-26;Avr.-26;Mar.-26;Fév.-26;Jan.-26;Déc.-25
3000000381571;AZIENT 500MG CPR PELL B/3;DES MOSQUEES -SAN PEDRO;3;0;0;2;4;0
3000000381571;AZIENT 500MG CPR PELL B/3;DES SABLES;0;1;2;1;1;2
3000000381571;AZIENT 500MG CPR PELL B/3;DI GEORGES SARLU;0;1;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DIVIN-AMOUR DE N'ZIKRO;1;0;2;1;0;1
3000000381571;AZIENT 500MG CPR PELL B/3;DIVINE GRACE ISSIA;0;1;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DIVINE MISERICORDE;0;0;1;2;0;6
3000000381571;AZIENT 500MG CPR PELL B/3;DJAHA - YAMOUSSOUKRO;0;2;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DU 14;0;4;0;0;5;0
3000000381571;AZIENT 500MG CPR PELL B/3;DU BONHEUR SARL-U;0;0;0;0;0;1
3000000381571;AZIENT 500MG CPR PELL B/3;DU CANAL;0;0;1;1;4;1
3000000381571;AZIENT 500MG CPR PELL B/3;DU CENACLE;0;0;0;1;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;DU COMMERCE MAN;2;5;14;2;3;23
3000000381571;AZIENT 500MG CPR PELL B/3;DU MARCHE -GAGNOA;0;0;0;0;4;0
3000000381571;AZIENT 500MG CPR PELL B/3;DU MARCHE BINGERVILLE SARL.U;0;0;0;0;6;0
3000000381571;AZIENT 500MG CPR PELL B/3;DU MARCHE D'ABENGOUROU (NOUVELLE);5;5;11;16;10;9
3000000381571;AZIENT 500MG CPR PELL B/3;DU MARCHE DABOU SARL U;0;0;0;0;10;0
3000000381571;AZIENT 500MG CPR PELL B/3;DU MARCHE DE GUIGLO;0;2;0;0;3;0
